Latitude,Longitude
37.4329521,127.1657852
37.439162,127.1585775
37.4555393,127.1653619
37.4176208,127.1545914
37.4096498,127.1272948
37.3822602,127.1261855
37.3515869,127.1073105
37.3908233,127.0790258
37.4065239,127.1157964
37.3666764,127.1262475
37.3394246,127.1206683
37.4794604,126.7725817
37.4824545,126.7960303
37.4701455,126.8094364
37.5021309,126.7772843
37.4910193,126.7795917
37.5057808,126.762548
37.4917623,126.7533887
37.4978205,126.7716015
37.4963573,126.7906124
37.4862029,126.8079261
37.5143607,126.7704117
37.5204457,126.7749203
37.5255595,126.8051737
37.5309097,126.8157757
37.5304772,126.7837191
37.477526,126.868851
37.4615541,126.8772747
37.4498765,126.888374
37.468906,126.848568
37.468906,126.848568
37.4152972,126.8688896
37.3216986,126.8288908
37.3221268,126.8315668
37.3102458,126.824761
37.343412,126.8289921
37.3320104,126.8091631
37.3440489,126.8039322
37.3449509,126.8126469
37.3326502,126.794581
37.3280871,126.7972615
37.3128866,126.7934064
37.2450519,126.5825554
37.3344969,126.7838961
37.3026621,126.8611454
37.2968418,126.8512778
37.2848926,126.8635235
37.3316267,126.8608401
37.3331391,126.8463671
37.3270199,126.8473566
37.3126682,126.8643943
37.3072168,126.8513589
37.3055098,126.9022661
37.2975817,126.8871927
37.3640017,126.8764141
37.3819771,126.7813541
37.3512111,126.7286623
